,min_var_weights_Variance
1,0.05414415692688289
2,0.055207840305852685
3,0.05519147352996101
4,0.051936055893874226
5,0.04847821237459914
6,0.051491674595246034
7,0.05112546945014622
8,0.05084107483304658
9,0.05481862079252037
10,0.052525898786655784
11,0.05330793645135554
12,0.05204148627325408
13,0.05270073595178197
14,0.0535594780211167
15,0.05266656868899725
16,0.054825580494684625
17,0.05372617925376655
18,0.05356917726216307
19,0.00045139426369295797
20,0.04739098585040223
21,0.0010026155104763796
